Number,Source file id,Category code,Category,Funtional Category,Demographic category,Situational category,Name,Source file category,Headquarters city,Registration date,registration office,Country,Address,Latitude,Longitude,Geolocation verification
230,PR-OGSIFLUC-2008012024-230,,,,,,"Centro de Desarrollo Educativo y Deportivo, Inc.",Educación,Moca,2001-06-06,,Puerto Rico,"Centro de Desarrollo Educativo y Deportivo, Inc. Moca Puerto Rico",18.3946688,-67.1132356,1
231,PR-OGSIFLUC-2008012024-231,,,,,,"Centro de Desarrollo Familiar Cristo Reina, Inc.",Bienestar Social,Guaynabo,1999-07-21,,Puerto Rico,"Centro de Desarrollo Familiar Cristo Reina, Inc. Guaynabo Puerto Rico",18.354421,-66.122306,1
232,PR-OGSIFLUC-2008012024-232,,,,,,"Centro de Desarrollo Familiar Seasonal Head Start Diócesis de Mayagüez, Inc.",Bienestar Social,Mayagüez,2010-07-01,,Puerto Rico,"Centro de Desarrollo Familiar Seasonal Head Start Diócesis de Mayagüez, Inc. Mayagüez Puerto Rico",18.137328,-67.1247697,1
233,PR-OGSIFLUC-2008012024-233,,,,,,"Centro de Desarrollo Integral Luna, Inc.",Bienestar Social,Guaynabo,2007-03-09,,Puerto Rico,"Centro de Desarrollo Integral Luna, Inc. Guaynabo Puerto Rico",18.3615548,-66.1110682,1
234,PR-OGSIFLUC-2008012024-234,,,,,,"Centro de Desarrollo Psico-Organizacional y Psicoeducativo, Inc.",Bienestar Social,San Juan,2005-09-07,,Puerto Rico,"Centro de Desarrollo Psico-Organizacional y Psicoeducativo, Inc. San Juan Puerto Rico",18.3790825,-66.0940688,1
235,PR-OGSIFLUC-2008012024-235,,,,,,"Centro de Desarrollo y Servicios Especializados, Inc.",Bienestar Social,Mayagüez,1981-02-06,,Puerto Rico,"Centro de Desarrollo y Servicios Especializados, Inc. Mayagüez Puerto Rico",18.188877,-67.119483,1
236,PR-OGSIFLUC-2008012024-236,,,,,,"Centro de Educación Integral Soles del Jardín, Inc.",Educación,Quebradillas,1995-04-25,Departamento de Hacienda,Puerto Rico,"Centro de Educación Integral Soles del Jardín, Inc. Quebradillas Puerto Rico",18.4452251,-66.9291756,1
237,PR-OGSIFLUC-2008012024-237,,,,,,"Centro de Educación para la Vida, Inc.",Educación,San Juan,1996-01-01,Departamento de Hacienda,Puerto Rico,"Centro de Educación para la Vida, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
238,PR-OGSIFLUC-2008012024-238,,,,,,"Centro de Enseñanza para la Familia, Inc.",Educación,Humacao,1997-02-21,Departamento de Hacienda,Puerto Rico,"Centro de Enseñanza para la Familia, Inc. Humacao Puerto Rico",18.1587983,-65.8152948,1
239,PR-OGSIFLUC-2008012024-239,,,,,,"Centro de Envejecientes Caimital Alto, Inc.",Bienestar Social,Aguadilla,1989-05-12,,Puerto Rico,"Centro de Envejecientes Caimital Alto, Inc. Aguadilla Puerto Rico",18.4464651,-67.1114803,1
240,PR-OGSIFLUC-2008012024-240,,,,,,"Centro de Estudiante y Maestro Investigador, Corp.",Educación,Humacao,2013-05-25,Departamento de Hacienda,Puerto Rico,"Centro de Estudiante y Maestro Investigador, Corp. Humacao Puerto Rico",18.428351,-66.4939944,1
241,PR-OGSIFLUC-2008012024-241,,,,,,"Centro de Estudios Avanzados de Puerto Rico y el Caribe, Inc.",Educación,San Juan,1968-03-20,Departamento de Hacienda,Puerto Rico,"Centro de Estudios Avanzados de Puerto Rico y el Caribe, Inc. San Juan Puerto Rico",18.466744,-66.118519,1
242,PR-OGSIFLUC-2008012024-242,,,,,,Centro de Gobernanza Pública y Corporativa Inc.,Educación,San Juan,2015-01-14,Departamento de Hacienda,Puerto Rico,Centro de Gobernanza Pública y Corporativa Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
243,PR-OGSIFLUC-2008012024-243,,,,,,"Centro de Instrucción y Educación Moderna, Inc.",Educación,Carolina,1984-12-10,Departamento de Hacienda,Puerto Rico,"Centro de Instrucción y Educación Moderna, Inc. Carolina Puerto Rico",18.3736316,-65.9630925,1
244,PR-OGSIFLUC-2008012024-244,,,,,,"Centro de Investigaciones Folklóricas de Puerto Rico, Inc.",Arte y Cultura,Ponce,1980-09-11,Departamento de Hacienda,Puerto Rico,"Centro de Investigaciones Folklóricas de Puerto Rico, Inc. Ponce Puerto Rico",18.0110768,-66.6140616,1
245,PR-OGSIFLUC-2008012024-245,,,,,,Centro de Investigación y Mediación Inc.,Asuntos Legales,San Juan,2011-10-05,Departamento de Hacienda,Puerto Rico,Centro de Investigación y Mediación Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
246,PR-OGSIFLUC-2008012024-246,,,,,,"Centro de Investigación y Política Pública, Corp.",Educación,San Juan,2012-09-19,Departamento de Hacienda,Puerto Rico,"Centro de Investigación y Política Pública, Corp. San Juan Puerto Rico",18.4655394,-66.1057355,1
247,PR-OGSIFLUC-2008012024-247,,,,,,Centro de la Mujer Dominicana Inc.,Bienestar Social,San Juan,2003-02-19,,Puerto Rico,Centro de la Mujer Dominicana Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
248,PR-OGSIFLUC-2008012024-248,,,,,,"Centro de Microempresas y Tecnologías Agrícolas Sustentables de Yauco, Inc.",Bienestar Social,Yauco,2010-12-22,,Puerto Rico,"Centro de Microempresas y Tecnologías Agrícolas Sustentables de Yauco, Inc. Yauco Puerto Rico",18.0546147,-66.8336085,1
249,PR-OGSIFLUC-2008012024-249,,,,,,"Centro de Orientación y Acción Social, Inc.",Bienestar Social,Vega Alta,1970-01-01,,Puerto Rico,"Centro de Orientación y Acción Social, Inc. Vega Alta Puerto Rico",18.4118944,-66.3285957,1
250,PR-OGSIFLUC-2008012024-250,,,,,,"Centro de Orientación y Referido para la Comunidad Jireh, Inc.",Bienestar Social,Corozal,1970-01-01,,Puerto Rico,"Centro de Orientación y Referido para la Comunidad Jireh, Inc. Corozal Puerto Rico",18.3410116,-66.3174271,1
251,PR-OGSIFLUC-2008012024-251,,,,,,"Centro de Recreación y Rehabilitación del Leonismo Puertorriqueño para Niños, Inc.",Bienestar Social,San Juan,1970-01-01,,Puerto Rico,"Centro de Recreación y Rehabilitación del Leonismo Puertorriqueño para Niños, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
252,PR-OGSIFLUC-2008012024-252,,,,,,"Centro de Rehabilitación el Alfarero, Inc.",Bienestar Social,Adjuntas,1970-01-01,,Puerto Rico,"Centro de Rehabilitación el Alfarero, Inc. Adjuntas Puerto Rico",18.1634848,-66.723158,1
253,PR-OGSIFLUC-2008012024-253,,,,,,"Centro de Renovación y Desarrollo Humano-Espiritual Buen Pastor, Incorporado",Bienestar Social,Guaynabo,1970-01-01,,Puerto Rico,"Centro de Renovación y Desarrollo Humano-Espiritual Buen Pastor, Incorporado Guaynabo Puerto Rico",18.3100671,-66.0837876,1
254,PR-OGSIFLUC-2008012024-254,,,,,,"Centro de Respiro y Rehabilitación San Francisco, Inc.",Bienestar Social,Cayey,1970-01-01,,Puerto Rico,"Centro de Respiro y Rehabilitación San Francisco, Inc. Cayey Puerto Rico",18.10848,-66.170471,1
255,PR-OGSIFLUC-2008012024-255,,,,,,"Centro de Servicios a la Juventud, Inc.",Bienestar Social,Arecibo,1970-01-01,,Puerto Rico,"Centro de Servicios a la Juventud, Inc. Arecibo Puerto Rico",18.466819,-66.7383664,1
256,PR-OGSIFLUC-2008012024-256,,,,,,"Centro de Servicios Comunitarios Abriendo Nuevos Surcos, Inc.",Bienestar Social,Humacao,1970-01-01,,Puerto Rico,"Centro de Servicios Comunitarios Abriendo Nuevos Surcos, Inc. Humacao Puerto Rico",18.1551337,-65.8203943,1
257,PR-OGSIFLUC-2008012024-257,,,,,,"Centro de Servicios Educativos de San Germán, Inc.",Educación,San German,2000-05-01,Departamento de Hacienda,Puerto Rico,"Centro de Servicios Educativos de San Germán, Inc. San German Puerto Rico",18.0833637,-67.051542,1
258,PR-OGSIFLUC-2008012024-258,,,,,,"Centro de Servicios Ferrán, Inc.",Bienestar Social,Ponce,1985-07-03,,Puerto Rico,"Centro de Servicios Ferrán, Inc. Ponce Puerto Rico",18.0174245,-66.6287169,1
259,PR-OGSIFLUC-2008012024-259,,,,,,"Centro de Servicios Socio-Comunitarios Integrales de Ponce, Inc.",Bienestar Social,Ponce,1970-01-01,,Puerto Rico,"Centro de Servicios Socio-Comunitarios Integrales de Ponce, Inc. Ponce Puerto Rico",18.0128463,-66.6179659,1
260,PR-OGSIFLUC-2008012024-260,,,,,,"Centro de Usos Múltiples Sabana Hoyos, Inc.",Bienestar Social,Coamo,1970-01-01,,Puerto Rico,"Centro de Usos Múltiples Sabana Hoyos, Inc. Coamo Puerto Rico",18.4338352,-66.6137846,1
261,PR-OGSIFLUC-2008012024-261,,,,,,"Centro Deambulantes Cristo Pobre, Inc.",Bienestar Social,Ponce,1970-01-01,,Puerto Rico,"Centro Deambulantes Cristo Pobre, Inc. Ponce Puerto Rico",18.0151718,-66.6151859,1
262,PR-OGSIFLUC-2008012024-262,,,,,,Centro Educativo Clagill Inc.,Educación,Humacao,1995-11-08,Departamento de Hacienda,Puerto Rico,Centro Educativo Clagill Inc. Humacao Puerto Rico,18.4193,-66.1708348,1
263,PR-OGSIFLUC-2008012024-263,,,,,,Centro Educativo Integral Formando Vidas Inc.,Educación,Aguadilla,2014-08-16,Departamento de Hacienda,Puerto Rico,Centro Educativo Integral Formando Vidas Inc. Aguadilla Puerto Rico,18.4274454,-67.1540698,1
264,PR-OGSIFLUC-2008012024-264,,,,,,Centro Educativo Pasitos del Saber Inc.,Educación,Naguabo,2015-03-20,Departamento de Hacienda,Puerto Rico,Centro Educativo Pasitos del Saber Inc. Naguabo Puerto Rico,18.2146745,-65.7434564,1
265,PR-OGSIFLUC-2008012024-265,,,,,,Centro Educativo Sico Social de Ayuda Inc.,Educación,Maunabo,2010-08-23,Departamento de Hacienda,Puerto Rico,Centro Educativo Sico Social de Ayuda Inc. Maunabo Puerto Rico,18.0067272,-65.8989023,1
266,PR-OGSIFLUC-2008012024-266,,,,,,"Centro Envejeciente García Ducos, Inc.",Bienestar Social,Aguadilla,1970-01-01,,Puerto Rico,"Centro Envejeciente García Ducos, Inc. Aguadilla Puerto Rico",18.3723465,-67.1367558,1
267,PR-OGSIFLUC-2008012024-267,,,,,,"Centro Esperanza, Incorporado",Bienestar Social,Loíza,1990-06-22,,Puerto Rico,"Centro Esperanza, Incorporado Loíza Puerto Rico",18.4291861,-65.8431132,1
268,PR-OGSIFLUC-2008012024-268,,,,,,"Centro Geriátrico Caritativo La Milagrosa, Inc.",Bienestar Social,Mayagüez,1973-09-17,,Puerto Rico,"Centro Geriátrico Caritativo La Milagrosa, Inc. Mayagüez Puerto Rico",18.1855068,-67.115675,1
269,PR-OGSIFLUC-2008012024-269,,,,,,"Centro Geriátrico El Remanso, Inc.",Bienestar Social,Bayamón,1987-04-21,,Puerto Rico,"Centro Geriátrico El Remanso, Inc. Bayamón Puerto Rico",18.3850844,-66.2002916,1
270,PR-OGSIFLUC-2008012024-270,,,,,,"Centro Geriátrico Higüey, Inc.",Bienestar Social,Aguadilla,1989-06-12,,Puerto Rico,"Centro Geriátrico Higüey, Inc. Aguadilla Puerto Rico",18.4247518,-67.1541647,1
271,PR-OGSIFLUC-2008012024-271,,,,,,"Centro Geriátrico San Rafael, Inc.",Bienestar Social,Arecibo,1925-08-06,,Puerto Rico,"Centro Geriátrico San Rafael, Inc. Arecibo Puerto Rico",18.4728211,-66.7191637,1
272,PR-OGSIFLUC-2008012024-272,,,,,,Centro Guadalupe Vida y Familia Inc.,Bienestar Social,San Juan,2007-02-09,,Puerto Rico,Centro Guadalupe Vida y Familia Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
273,PR-OGSIFLUC-2008012024-273,,,,,,"Centro Infantil Little Angels, Inc.",Educación,Ponce,1998-10-22,,Puerto Rico,"Centro Infantil Little Angels, Inc. Ponce Puerto Rico",18.0110768,-66.6140616,1
274,PR-OGSIFLUC-2008012024-274,,,,,,Centro Integral de las Artes en Psicoterapia Inc.,Arte y Cultura,Caguas,1997-02-27,,Puerto Rico,Centro Integral de las Artes en Psicoterapia Inc. Caguas Puerto Rico,18.2387995,-66.035249,1
275,PR-OGSIFLUC-2008012024-275,,,,,,"Centro Legal Ayuda a Menores Distrito de Mayagüez, Inc.",Asuntos Legales,San Juan,1987-07-31,Departamento de Hacienda,Puerto Rico,"Centro Legal Ayuda a Menores Distrito de Mayagüez, Inc. San Juan Puerto Rico",18.2013463,-67.1451517,1
276,PR-OGSIFLUC-2008012024-276,,,,,,"Centro Margarita, Inc.",Bienestar Social,Caguas,1978-04-04,,Puerto Rico,"Centro Margarita, Inc. Caguas Puerto Rico",18.196667,-66.1206122,1
277,PR-OGSIFLUC-2008012024-277,,,,,,"Centro Margarita, Inc.",Bienestar Social,Cidra,1978-04-04,,Puerto Rico,"Centro Margarita, Inc. Cidra Puerto Rico",18.196667,-66.1206122,1
278,PR-OGSIFLUC-2008012024-278,,,,,,"Centro Mujer y Nueva Familia, Inc.",Bienestar Social,Barranquitas,1998-02-13,,Puerto Rico,"Centro Mujer y Nueva Familia, Inc. Barranquitas Puerto Rico",18.1866242,-66.3062802,1
279,PR-OGSIFLUC-2008012024-279,,,,,,"Centro para el Estudio de la Religión, Inc.",Educación,Ponce,1985-02-20,Departamento de Hacienda,Puerto Rico,"Centro para el Estudio de la Religión, Inc. Ponce Puerto Rico",18.0110768,-66.6140616,1
280,PR-OGSIFLUC-2008012024-280,,,,,,"Centro para Emprendedores, Inc.",Educación,San Juan,2012-04-05,Departamento de Hacienda,Puerto Rico,"Centro para Emprendedores, Inc. San Juan Puerto Rico",18.4469988,-66.0669629,1
281,PR-OGSIFLUC-2008012024-281,,,,,,"Centro para Niños El Nuevo Hogar, Inc.",Bienestar Social,Adjuntas,1985-04-11,,Puerto Rico,"Centro para Niños El Nuevo Hogar, Inc. Adjuntas Puerto Rico",18.1634848,-66.723158,1
282,PR-OGSIFLUC-2008012024-282,,,,,,"Centro para Puerto Rico, Inc.",Bienestar Social,San Juan,2014-03-25,,Puerto Rico,"Centro para Puerto Rico, Inc. San Juan Puerto Rico",18.4012047,-66.0530948,1
283,PR-OGSIFLUC-2008012024-283,,,,,,"Centro Pediátrico de Lactancia y Crianza, Inc.",Bienestar Social,San Juan,1995-05-19,,Puerto Rico,"Centro Pediátrico de Lactancia y Crianza, Inc. San Juan Puerto Rico",18.4113593,-65.9990967,1
284,PR-OGSIFLUC-2008012024-284,,,,,,Centro Pre Escolar Cambú Corporation,Educación,Vega Alta,1996-03-20,,Puerto Rico,Centro Pre Escolar Cambú Corporation Vega Alta Puerto Rico,18.4145308,-66.3212483,1
285,PR-OGSIFLUC-2008012024-285,,,,,,"Centro Pro Vida Independiente, Inc.",Bienestar Social,Ponce,2001-02-07,,Puerto Rico,"Centro Pro Vida Independiente, Inc. Ponce Puerto Rico",18.0100059,-66.6119143,1
286,PR-OGSIFLUC-2008012024-286,,,,,,"Centro Ramón Frade para Personas de Edad, Inc.",Bienestar Social,Cayey,1984-12-10,,Puerto Rico,"Centro Ramón Frade para Personas de Edad, Inc. Cayey Puerto Rico",18.1125419,-66.1662519,1
287,PR-OGSIFLUC-2008012024-287,,,,,,"Centro San Francisco, Inc.",Arte y Cultura,Ponce,1981-11-20,Departamento de Hacienda,Puerto Rico,"Centro San Francisco, Inc. Ponce Puerto Rico",18.0175464,-66.6253911,1
288,PR-OGSIFLUC-2008012024-288,,,,,,"Centro Santa Luisa, Inc.",Bienestar Social,San Juan,1990-05-17,Departamento de Hacienda,Puerto Rico,"Centro Santa Luisa, Inc. San Juan Puerto Rico",18.345442,-66.0741427,1
289,PR-OGSIFLUC-2008012024-289,,,,,,Centro Volunac Inc.,Bienestar Social,Salinas,1994-09-06,Departamento de Hacienda,Puerto Rico,Centro Volunac Inc. Salinas Puerto Rico,18.0022251,-66.2605176,1
290,PR-OGSIFLUC-2008012024-290,,,,,,"Centro Zoé - Servicios de Apoyo y Consejería Familiar, Inc.",Bienestar Social,Bayamón,2005-10-18,,Puerto Rico,"Centro Zoé - Servicios de Apoyo y Consejería Familiar, Inc. Bayamón Puerto Rico",18.389396,-66.1653224,1
291,PR-OGSIFLUC-2008012024-291,,,,,,"Centros Sor Isolina Ferré, Inc.",Bienestar Social,Ponce,1957-05-02,Departamento de Hacienda,Puerto Rico,"Centros Sor Isolina Ferré, Inc. Ponce Puerto Rico",17.9851139,-66.6235875,1
292,PR-OGSIFLUC-2008012024-292,,,,,,"Choice Books of North Virginia, Inc.",Educación,San Juan,2006-01-23,Departamento de Hacienda,Puerto Rico,"Choice Books of North Virginia, Inc. San Juan Puerto Rico",38.7368495,-77.5335016,0
293,PR-OGSIFLUC-2008012024-293,,,,,,"Ciencia Puerto Rico, Inc.",Educación,San Juan,2010-04-20,Departamento de Hacienda,Puerto Rico,"Ciencia Puerto Rico, Inc. San Juan Puerto Rico",18.4236319,-66.075087,1
294,PR-OGSIFLUC-2008012024-294,,,,,,"Cinderella Nursery Day Care Center, Inc.",Educación,Mayagüez,1993-04-27,,Puerto Rico,"Cinderella Nursery Day Care Center, Inc. Mayagüez Puerto Rico",18.2256184,-67.1479839,1
295,PR-OGSIFLUC-2008012024-295,,,,,,"Cine C.A.R.E.T.A.S., Inc.",Arte y Cultura,Aguadilla,2009-06-19,Departamento de Hacienda,Puerto Rico,"Cine C.A.R.E.T.A.S., Inc. Aguadilla Puerto Rico",18.4273632,-67.1491201,1
296,PR-OGSIFLUC-2008012024-296,,,,,,"Cinemanativo, Inc.",Arte y Cultura,San Juan,2010-03-25,Departamento de Hacienda,Puerto Rico,"Cinemanativo, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
297,PR-OGSIFLUC-2008012024-297,,,,,,"Circo Nacional de Puerto Rico, Inc.",Arte y Cultura,Cayey,2010-06-15,Departamento de Hacienda,Puerto Rico,"Circo Nacional de Puerto Rico, Inc. Cayey Puerto Rico",18.1119051,-66.166,1
298,PR-OGSIFLUC-2008012024-298,,,,,,"Ciudad del Niño, Inc.",Bienestar Social,San Juan,1945-05-11,Departamento de Hacienda,Puerto Rico,"Ciudad del Niño, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
299,PR-OGSIFLUC-2008012024-299,,,,,,"Ciudad Mística, Inc.",Educación,Sabana Grande,1996-09-20,Departamento de Hacienda,Puerto Rico,"Ciudad Mística, Inc. Sabana Grande Puerto Rico",18.0777392,-66.9604549,1
300,PR-OGSIFLUC-2008012024-300,,,,,,"Ciudadanos del Karso, Inc.",Ambiente,San Juan,1994-08-25,Departamento de Hacienda,Puerto Rico,"Ciudadanos del Karso, Inc. San Juan Puerto Rico",18.361141,-66.075192,1
301,PR-OGSIFLUC-2008012024-301,,,,,,"Ciudadanos Pro Albergue de Animales de Aguadilla, Inc.",Bienestar Social,Aguadilla,1990-12-03,,Puerto Rico,"Ciudadanos Pro Albergue de Animales de Aguadilla, Inc. Aguadilla Puerto Rico",18.4274454,-67.1540698,1
302,PR-OGSIFLUC-2008012024-302,,,,,,"Ciudadanos Pro Defensa de la Belleza de Puerto Rico, Inc.",Ambiente,San Juan,2003-10-01,Departamento de Hacienda,Puerto Rico,"Ciudadanos Pro Defensa de la Belleza de Puerto Rico, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
303,PR-OGSIFLUC-2008012024-303,,,,,,"Civil Air Patrol, Puerto Rico Wing, Inc.",Educación,San Juan,1996-03-13,Departamento de Hacienda,Puerto Rico,"Civil Air Patrol, Puerto Rico Wing, Inc. San Juan Puerto Rico",18.4655394,-66.1057355,1
304,PR-OGSIFLUC-2008012024-304,,,,,,Club Cultural Dominicanos Unidos Inc.,Arte y Cultura,San Juan,1974-11-20,Departamento de Hacienda,Puerto Rico,Club Cultural Dominicanos Unidos Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
305,PR-OGSIFLUC-2008012024-305,,,,,,"Club Esperanza para Niños, Jóvenes y Edad Dorada Inc.",Bienestar Social,Guayanilla,2014-05-05,Departamento de Hacienda,Puerto Rico,"Club Esperanza para Niños, Jóvenes y Edad Dorada Inc. Guayanilla Puerto Rico",18.0373245,-66.7962869,1
306,PR-OGSIFLUC-2008012024-306,,,,,,"CMV Casa sin  Fronteras, Inc.",Bienestar Social,Arecibo,2004-12-30,Departamento de Hacienda,Puerto Rico,"CMV Casa sin  Fronteras, Inc. Arecibo Puerto Rico",18.4277581,-66.6158443,1
307,PR-OGSIFLUC-2008012024-307,,,,,,"Coalición de Apoyo Continuo para Personas sin Hogar de Guaynabo, Inc.",Bienestar Social,Guaynabo,2002-06-17,,Puerto Rico,"Coalición de Apoyo Continuo para Personas sin Hogar de Guaynabo, Inc. Guaynabo Puerto Rico",18.3612954,-66.1102957,1
308,PR-OGSIFLUC-2008012024-308,,,,,,"Coalición del Sector Privado, Incorporado de Puerto Rico",Economía y Finanzas,San Juan,2017-07-19,Departamento de Hacienda,Puerto Rico,"Coalición del Sector Privado, Incorporado de Puerto Rico San Juan Puerto Rico",18.4655394,-66.1057355,1
309,PR-OGSIFLUC-2008012024-309,,,,,,Coalición Pro Corredor Ecológico del Noreste,Ambiente,Luquillo,2013-08-20,Departamento de Hacienda,Puerto Rico,Coalición Pro Corredor Ecológico del Noreste Luquillo Puerto Rico,18.3513427,-65.6880941,1
310,PR-OGSIFLUC-2008012024-310,,,,,,"Coalición Pro Personas sin Hogar del Sur de Puerto Rico, (CODESUR), Inc.",Bienestar Social,Ponce,2008-04-11,,Puerto Rico,"Coalición Pro Personas sin Hogar del Sur de Puerto Rico, (CODESUR), Inc. Ponce Puerto Rico",18.0127162,-66.6108961,1
311,PR-OGSIFLUC-2008012024-311,,,,,,"Cobimet, Inc.",Educación,San Juan,2007-05-18,Departamento de Hacienda,Puerto Rico,"Cobimet, Inc. San Juan Puerto Rico",18.4070306,-66.1869767,1
312,PR-OGSIFLUC-2008012024-312,,,,,,ColaborativoPR Inc.,Educación,San Juan,2018-07-01,,Puerto Rico,ColaborativoPR Inc. San Juan Puerto Rico,18.4655394,-66.1057355,1
313,PR-OGSIFLUC-2008012024-313,,,,,,Colectivo Cultural Valle de Collores Inc.,Arte y Cultura,Ponce,2013-02-27,Departamento de Hacienda,Puerto Rico,Colectivo Cultural Valle de Collores Inc. Ponce Puerto Rico,18.0921838,-66.5415612,1
314,PR-OGSIFLUC-2008012024-314,,,,,,"Colegio Aguadeño San Francisco de Asis, Inc.",Educación,Aguada,1998-08-21,Departamento de Hacienda,Puerto Rico,"Colegio Aguadeño San Francisco de Asis, Inc. Aguada Puerto Rico",18.3795249,-67.1920736,1
315,PR-OGSIFLUC-2008012024-315,,,,,,Colegio Asambleas de Dios Inc.,Educación,Aguada,1976-04-26,Departamento de Hacienda,Puerto Rico,Colegio Asambleas de Dios Inc. Aguada Puerto Rico,18.3880623,-66.1798855,1
316,PR-OGSIFLUC-2008012024-316,,,,,,"Colegio Bautista de Caguas, Puerto Rico, Inc.",Educación,Caguas,1956-10-05,Departamento de Hacienda,Puerto Rico,"Colegio Bautista de Caguas, Puerto Rico, Inc. Caguas Puerto Rico",18.2200422,-66.062057,1
317,PR-OGSIFLUC-2008012024-317,,,,,,"Colegio Bautista de Carolina, Puerto Rico",Educación,Carolina,1955-06-16,Departamento de Hacienda,Puerto Rico,"Colegio Bautista de Carolina, Puerto Rico Carolina Puerto Rico",18.3841355,-65.9729835,1
318,PR-OGSIFLUC-2008012024-318,,,,,,"Colegio Carmen Sol, Inc.",Educación,Toa Baja,1993-10-21,Departamento de Hacienda,Puerto Rico,"Colegio Carmen Sol, Inc. Toa Baja Puerto Rico",18.4041809,-66.2163484,1
319,PR-OGSIFLUC-2008012024-319,,,,,,"Colegio Católico de Coamo, Inc.",Educación,Coamo,1974-10-21,Departamento de Hacienda,Puerto Rico,"Colegio Católico de Coamo, Inc. Coamo Puerto Rico",18.0794586,-66.3593355,1
320,PR-OGSIFLUC-2008012024-320,,,,,,"Colegio Católico Notre Dame, Corp.",Educación,Caguas,2006-12-04,"Departamento de Hacienda, IRS",Puerto Rico,"Colegio Católico Notre Dame, Corp. Caguas Puerto Rico",18.2333001,-66.0275477,1
321,PR-OGSIFLUC-2008012024-321,,,,,,"Colegio Congregación Mita, Incorporado",Educación,San Juan,1983-03-14,Departamento de Hacienda,Puerto Rico,"Colegio Congregación Mita, Incorporado San Juan Puerto Rico",18.4240571,-66.0486694,1
322,PR-OGSIFLUC-2008012024-322,,,,,,"Colegio Creativo de Puerto Rico, Inc.",Educación,San Juan,1975-06-16,Departamento de Hacienda,Puerto Rico,"Colegio Creativo de Puerto Rico, Inc. San Juan Puerto Rico",18.3850107,-66.0523935,1
323,PR-OGSIFLUC-2008012024-323,,,,,,"Colegio Cristiano de Isabela Revdo Secundino Elba, Inc.",Educación,Isabela,1998-05-04,Departamento de Hacienda,Puerto Rico,"Colegio Cristiano de Isabela Revdo Secundino Elba, Inc. Isabela Puerto Rico",18.4671247,-67.0287168,1
324,PR-OGSIFLUC-2008012024-324,,,,,,"Colegio de Aprendizaje y Desarrollo Educativo Integrado, Corp.",Educación,Moca,2008-09-30,Departamento de Hacienda,Puerto Rico,"Colegio de Aprendizaje y Desarrollo Educativo Integrado, Corp. Moca Puerto Rico",18.3946688,-67.1132356,1
325,PR-OGSIFLUC-2008012024-325,,,,,,"Colegio de Educación Especial y Rehabilitación Integral, Inc.",Educación,Guaynabo,1994-02-23,Departamento de Hacienda,Puerto Rico,"Colegio de Educación Especial y Rehabilitación Integral, Inc. Guaynabo Puerto Rico",18.3915169,-66.1196546,1
326,PR-OGSIFLUC-2008012024-326,,,,,,"Colegio de la Inmaculada Concepción, Inc.",Educación,Guaynabo,1968-10-25,Departamento de Hacienda,Puerto Rico,"Colegio de la Inmaculada Concepción, Inc. Guaynabo Puerto Rico",18.442179,-66.0626793,1
327,PR-OGSIFLUC-2008012024-327,,,,,,"Colegio de la Inmaculada de Santurce, Inc.",Educación,San Juan,1998-02-10,Departamento de Hacienda,Puerto Rico,"Colegio de la Inmaculada de Santurce, Inc. San Juan Puerto Rico",18.442179,-66.0626793,1
328,PR-OGSIFLUC-2008012024-328,,,,,,"Colegio de la Milagrosa Mayagüez, Inc.",Educación,San Juan,1979-03-21,Departamento de Hacienda,Puerto Rico,"Colegio de la Milagrosa Mayagüez, Inc. San Juan Puerto Rico",18.2022642,-67.1409452,1
329,PR-OGSIFLUC-2008012024-329,,,,,,"Colegio del Sagrado Corazón de Jesús de Ponce, Inc.",Educación,Ponce,1993-09-18,Departamento de Hacienda,Puerto Rico,"Colegio del Sagrado Corazón de Jesús de Ponce, Inc. Ponce Puerto Rico",18.0164704,-66.6017655,1
330,PR-OGSIFLUC-2008012024-330,,,,,,"Colegio Discípulos de Cristo de Hato Tejas, Inc.",Educación,Ponce,2019-01-24,Departamento de Hacienda,Puerto Rico,"Colegio Discípulos de Cristo de Hato Tejas, Inc. Ponce Puerto Rico",18.402869,-66.1905818,1
331,PR-OGSIFLUC-2008012024-331,,,,,,"Colegio Emilio Díaz Lebrón, Inc.",Educación,Humacao,1992-08-12,Departamento de Hacienda,Puerto Rico,"Colegio Emilio Díaz Lebrón, Inc. Humacao Puerto Rico",18.1558677,-65.8325545,1
332,PR-OGSIFLUC-2008012024-332,,,,,,"Colegio Ergos de Ponce, Puerto Rico, Inc.",Educación,Ponce,1981-05-07,Departamento de Hacienda,Puerto Rico,"Colegio Ergos de Ponce, Puerto Rico, Inc. Ponce Puerto Rico",18.0110768,-66.6140616,1
